James Brady,50000
Bachelor in Paradise,20000
Flawless remix,100000
Tiger Woods,100000
Jim Kelly,100000
John Venn,50000
Hall of Fame Game 2014,50000
Anwan Glover,50000
David Wilson,20000
Alexandria Chery,20000
Michael Johns,100000
Friendship Day,50000
Michael Strahan,50000
Cheryl Hines,50000
microcystin,20000
McKayla Maroney,20000
Paul George,2000000
Lollapalooza,50000
Teen Choice Awards 2014,50000
Facebook down,50000
Misty Copeland,20000
Get On Up,20000
Guardians Of The Galaxy,500000
Yoenis Cespedes,200000
Dustin Johnson,200000
David Price,200000
Into the Woods,50000
Remy Ma,20000
Emily Ratajkowski,20000
Ray Rice Video,20000
Orlando Bloom,200000
Sharknado 2,200000
stephen a smith,100000
Adrienne Bailon,100000
UCLA,50000
Jessica Barrymore,50000
Deadpool,50000
Jon Lester,50000
Cheesecake Factory,50000
Enrique Iglesias,20000
Jesse Ventura,100000
Agt,50000
Hilary Duff,50000
Robyn Lawley,50000
America's Got Talent,20000
Maggie Gyllenhaal,20000
Bachelorette,500000
Stephen A Smith,100000
Who is the Next Bachelor,100000
Freddie Prinze Jr,50000
Deadpool,20000
Mockingjay Trailer,20000
Ebola,200000
Eid Mubarak,100000
Mad Max,100000
Jeff Gordon,50000
Gal Gadot,200000
Sabina Altynbekova,100000
Lucy,200000
Andrej Pejic,100000
Dan Bilzerian,50000
Hercules movie,20000
50 Shades of Grey,1000000
Burkina Faso,200000
Nicki Minaj,100000
Comic Con 2014,50000
Ray Rice,50000
National Tequila Day,50000
Zac Efron,20000
French Montana,20000
Frank Caliendo,20000
Ian Somerhalder,20000
Ryan Dorsey,200000
Dan Bilzerian,50000
AAPL,20000
Tony Dungy,20000
Listeria,50000
Maria Kirilenko,20000
James Garner,500000
Rory McIlroy,200000
Skye McCole Bartusiak,200000
WWE,100000
National Ice Cream Day,20000
Behati Prinsloo,100000
Miley Cyrus Dead,20000
Rory McIlroy,100000
Eric Garner,50000
Carlos Boozer,50000
Raymond Frolander,20000
Dave Franco,20000
Malaysia Airlines,2000000
British Open,200000
Elaine Stritch,200000
Gaza,100000
Johnny Winter,100000
Bbc,100000
Nelson Mandela,100000
Destiny Beta,100000
Kevin Love,50000
The Purge Anarchy,50000
MSNBC,50000
ABC News,50000
NBC News,50000
Michael Sam,20000
Weird Al Handy,20000
World Map,20000
Stuart Scott,200000
ESPYS,200000
Kacy Catanzaro,100000
Drake,100000
Lance Stephenson,50000
Ultron,20000
Thor,20000
Derek Jeter,500000
Brooks Wheelan,100000
Garth Brooks Tour,50000
Mike Miller,20000
Home Run Derby,200000
Derek Jeter,200000
Weird Al Tacky,200000
24 Live Another Day,100000
Bastille Day,50000
Kacy Catanzaro,50000
Super Smash Bros,50000
Bethenny Frankel,50000
Todd Frazier,20000
Sting Wwe,20000
Jennette McCurdy,100000
The Strain,100000
World Cup 2018,100000
Shakira,50000
Manuel Neuer,50000
Lilit Avagyan,50000
David Beckham,50000
German flag,50000
DashCon,20000
World Cup,5000000
Tommy Ramone,200000
Brazil vs Netherlands,200000
Canelo vs Lara,200000
Orange Is the New Black,100000
Ian Thorpe,50000
Paul Pierce,50000
Jean Segura,20000
LeBron James,2000000
Carmelo Anthony,200000
Dave Legeno,200000
Becca Tobin,200000
Super Moon,100000
Dawn of the Planet of the Apes,100000
Jeremy Lin,100000
7 Eleven,100000
Kevin Love,100000
Pau Gasol,100000
Chick Fil A,100000
Meek Mill,100000
Krispy Kreme,50000
Hemlock Grove,20000
Emmy nominations 2014,200000
Garth Brooks,50000
Holly Holm,50000
John Legend,50000
LeBron James,1000000
Eva Mendes,200000
World Cup Final,200000
Messi,200000
Alix Tichelman,100000
Extant,100000
Cleveland Cavaliers,100000
Kevin Love,50000
Axelle Despiegelaere,50000
Coolest Cooler,50000
Chandler Parsons,50000
Arjen Robben,20000
Ray Nagin,20000
Argentina Vs Netherlands,1000000
Pottermore,200000
Neymar,100000
Gaza,100000
Apollo Nida,100000
Finding Carter,50000
ESPN Body Issue,50000
Maury Travis,50000
Crumbs,20000
IHOP,20000
Brazil vs Germany,1000000
Eric Hill,200000
Michelle Rodriguez,200000
Josh McRoberts,100000
Johnny Manziel,50000
Joe Manganiello,50000
Aaron Murray,50000
Miley Cyrus,50000
Chris Bosh,20000
Josh Gordon,20000
Kickstarter,20000
Wimbledon 2014,500000
NASCAR,200000
BJ Penn,50000
Witches Of East End,20000
Zac Efron,20000
Ronda Rousey,500000
Eugenie Bouchard,100000
Tour de France,100000
Tim Krul,50000
Josh Gordon,50000
Jessica Simpson,50000
Addison Russell,20000
World Cup,2000000
Netherlands vs Costa Rica,200000
Argentina vs Belgium,200000
Hurricane Arthur,200000
France vs Germany,100000
Joey Chestnut,100000
Roger Federer,100000
Anthony Cumia,100000
Federer,50000
Happy Fourth of July,20000
Lou Gehrig,20000
